sigma_fair,sigma_offset,option_type,num_zeros,boundary_type,lower_boundary,upper_boundary,early_exercise_premium,american_value,european_value
0.26,0.05,call,0,always_exercise,,,0.0,1.896123776474191,1.896123776474191
0.26,0.05,put,0,always_exercise,,,0.0,1.8961237764741838,1.8961237764741838
0.26,0.06,call,0,always_exercise,,,0.0,2.2756075250523935,2.2756075250523935
0.26,0.06,put,0,always_exercise,,,0.0,2.2756075250524006,2.2756075250524006
0.26,0.07,call,0,always_exercise,,,0.0,2.65507749312804,2.65507749312804
0.26,0.07,put,0,always_exercise,,,0.0,2.65507749312804,2.65507749312804
0.26,0.08,call,0,always_exercise,,,0.0,3.0344986273924164,3.0344986273924164
0.26,0.08,put,0,always_exercise,,,0.0,3.0344986273924164,3.0344986273924164
0.26,0.09,call,0,always_exercise,,,0.0,3.413838809307414,3.413838809307414
0.26,0.09,put,0,always_exercise,,,0.0,3.4138388093074212,3.4138388093074212
0.26,0.1,call,0,always_exercise,,,0.0,3.7930684556818406,3.7930684556818406
0.26,0.1,put,0,always_exercise,,,0.0,3.7930684556818406,3.7930684556818406
0.27,0.0,call,200,multiple_200,50.25,149.75,0.0,0.0,0.0
0.27,0.0,put,200,multiple_200,50.25,149.75,0.0,0.0,0.0
0.27,0.01,call,0,always_exercise,,,0.0,0.37911068171966633,0.37911068171966633
0.27,0.01,put,0,always_exercise,,,0.0,0.37911068171966633,0.37911068171966633
0.27,0.02,call,0,always_exercise,,,0.0,0.7583883216566392,0.7583883216566392
0.27,0.02,put,0,always_exercise,,,0.0,0.7583883216566392,0.7583883216566392
0.27,0.03,call,0,always_exercise,,,0.0,1.1377802435054747,1.1377802435054747
0.27,0.03,put,0,always_exercise,,,0.0,1.1377802435054747,1.1377802435054747
0.27,0.04,call,0,always_exercise,,,0.0,1.5172393062623044,1.5172393062623044
0.27,0.04,put,0,always_exercise,,,0.0,1.5172393062622973,1.5172393062622973
0.27,0.05,call,0,always_exercise,,,0.0,1.896723054840507,1.896723054840507
0.27,0.05,put,0,always_exercise,,,0.0,1.896723054840514,1.896723054840514
0.27,0.06,call,0,always_exercise,,,0.0,2.2761930229161536,2.2761930229161536
0.27,0.06,put,0,always_exercise,,,0.0,2.2761930229161536,2.2761930229161536
0.27,0.07,call,0,always_exercise,,,0.0,2.65561415718053,2.65561415718053
0.27,0.07,put,0,always_exercise,,,0.0,2.65561415718053,2.65561415718053
0.27,0.08,call,0,always_exercise,,,0.0,3.034954339095542,3.034954339095542
0.27,0.08,put,0,always_exercise,,,0.0,3.0349543390955347,3.0349543390955347
0.27,0.09,call,0,always_exercise,,,0.0,3.414183985469954,3.414183985469954
0.27,0.09,put,0,always_exercise,,,0.0,3.414183985469954,3.414183985469954
0.27,0.1,call,0,always_exercise,,,0.0,3.7932757131494697,3.7932757131494697
0.27,0.1,put,0,always_exercise,,,0.0,3.7932757131494697,3.7932757131494697
0.28,0.0,call,200,multiple_200,50.25,149.75,0.0,0.0,0.0
0.28,0.0,put,200,multiple_200,50.25,149.75,0.0,0.0,0.0
0.28,0.01,call,0,always_exercise,,,0.0,0.37927763993697283,0.37927763993697283
0.28,0.01,put,0,always_exercise,,,0.0,0.37927763993697283,0.37927763993697283
0.28,0.02,call,0,always_exercise,,,0.0,0.7586695617858084,0.7586695617858084
0.28,0.02,put,0,always_exercise,,,0.0,0.7586695617858084,0.7586695617858084
0.28,0.03,call,0,always_exercise,,,0.0,1.138128624542638,1.138128624542638
0.28,0.03,put,0,always_exercise,,,0.0,1.138128624542631,1.138128624542631
0.28,0.04,call,0,always_exercise,,,0.0,1.5176123731208406,1.5176123731208406
0.28,0.04,put,0,always_exercise,,,0.0,1.5176123731208477,1.5176123731208477
0.28,0.05,call,0,always_exercise,,,0.0,1.8970823411964872,1.8970823411964872
0.28,0.05,put,0,always_exercise,,,0.0,1.8970823411964872,1.8970823411964872
0.28,0.06,call,0,always_exercise,,,0.0,2.2765034754608635,2.2765034754608635
0.28,0.06,put,0,always_exercise,,,0.0,2.2765034754608635,2.2765034754608635
0.28,0.07,call,0,always_exercise,,,0.0,2.6558436573758755,2.6558436573758755
0.28,0.07,put,0,always_exercise,,,0.0,2.6558436573758684,2.6558436573758684
0.28,0.08,call,0,always_exercise,,,0.0,3.035073303750295,3.035073303750295
0.28,0.08,put,0,always_exercise,,,0.0,3.0350733037502877,3.0350733037502877
0.28,0.09,call,0,always_exercise,,,0.0,3.4141650314298033,3.4141650314298033
0.28,0.09,put,0,always_exercise,,,0.0,3.4141650314298033,3.4141650314298033
0.28,0.1,call,0,always_exercise,,,0.0,3.7930933744435222,3.7930933744435222
0.28,0.1,put,0,always_exercise,,,0.0,3.793093374443515,3.793093374443515
0.29000000000000004,0.0,call,200,multiple_200,50.25,149.75,0.0,0.0,0.0
0.29000000000000004,0.0,put,200,multiple_200,50.25,149.75,0.0,0.0,0.0
0.29000000000000004,0.01,call,0,always_exercise,,,0.0,0.3793919218488355,0.3793919218488355
0.29000000000000004,0.01,put,0,always_exercise,,,0.0,0.3793919218488355,0.3793919218488355
